Time,Second,Number of Sorts,State
13:26:10,1,154,
13:26:11,2,93727,
13:26:12,3,120896,
13:26:13,4,144423,
13:26:14,5,172778,
13:26:15,6,177725,
13:26:16,7,177627,
13:26:17,8,177609,
13:26:18,9,177595,
13:26:19,10,176929,
13:26:20,11,133672,
13:26:21,12,174651,
13:26:22,13,177585,
13:26:23,14,177404,
13:26:24,15,177480,
13:26:25,16,176967,
13:26:26,17,161473,
13:26:27,18,163687,
13:26:28,19,162831,
13:26:29,20,153770,
13:26:30,21,131577,
13:26:31,22,128420,
13:26:32,23,125786,
13:26:33,24,130530,
13:26:34,25,132412,
13:26:35,26,132480,
13:26:36,27,132155,
13:26:37,28,127769,
13:26:38,29,125808,
13:26:39,30,126204,
13:26:40,31,126568,
13:26:41,32,127045,
13:26:42,33,95512,
13:26:43,34,95948,
13:26:44,35,129906,
13:26:45,36,136771,
13:26:46,37,164860,
13:26:47,38,177366,
13:26:48,39,177863,
13:26:49,40,178042,
13:26:50,41,177885,
13:26:51,42,177796,
13:26:52,43,177837,
13:26:53,44,177570,
13:26:54,45,177993,
