Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,8,1,2794,25624,1091379200,0,10,0,551.6586925808843,1766681321,9507,0,0,1763151872,430457,116488,No
2,11,2,3090,38336,1091379200,0,13,0,517.4521874054365,2479288927,10108,0,0,2474364928,604093,108044,No
3,18,1,6471,61944,1091379200,0,20,0,504.1061259545066,3903017946,10343,0,0,3895316480,951005,114340,Yes
4,5,2,2816,25822,1091379200,0,7,0,509.059692331526,1642777721,9083,0,0,1639493632,400267,108245,No
5,7,2,938,23058,1091379200,0,9,0,580.467633240805,1672695231,10377,0,0,1669341184,407554,85129,Yes
Average,"=AVERAGEIF($R2:$R6, ""No"", B2:B6)","=AVERAGEIF($R2:$R6, ""No"", C2:C6)","=AVERAGEIF($R2:$R6, ""No"", D2:D6)","=AVERAGEIF($R2:$R6, ""No"", E2:E6)","=AVERAGEIF($R2:$R6, ""No"", F2:F6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", H2:H6)","=AVERAGEIF($R2:$R6, ""No"", I2:I6)","=AVERAGEIF($R2:$R6, ""No"", G2:G6)","=AVERAGEIF($R2:$R6, ""No"", K2:K6)","=AVERAGEIF($R2:$R6, ""No"", L2:L6)","=AVERAGEIF($R2:$R6, ""No"", M2:M6)","=AVERAGEIF($R2:$R6, ""No"", N2:N6)","=AVERAGEIF($R2:$R6, ""No"", O2:O6)","=AVERAGEIF($R2:$R6, ""No"", P2:P6)","=AVERAGEIF($R2:$R6, ""No"", Q2:Q6)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,10,2,1833,56077,2165121024,0,12,0,611.0837478377173,4283102579,93896,0,0,4273909760,1043435,139089,No
2,11,2,1000,57965,2165121024,0,13,0,615.2305564584303,4457363501,93551,0,0,4447834112,1085897,137600,No
3,8,2,1168,44819,2165121024,0,10,0,661.9460795680211,3708092167,93556,0,0,3700023296,903326,138203,Yes
4,10,2,4046,50523,2165121024,0,12,0,610.6058621167435,3855839529,94387,0,0,3847475200,939325,129345,No
5,11,2,452,44241,2165121024,0,13,0,652.2401289360067,3606593791,90556,0,0,3598749696,878601,116715,Yes
Average,"=AVERAGEIF($R10:$R14, ""No"", B10:B14)","=AVERAGEIF($R10:$R14, ""No"", C10:C14)","=AVERAGEIF($R10:$R14, ""No"", D10:D14)","=AVERAGEIF($R10:$R14, ""No"", E10:E14)","=AVERAGEIF($R10:$R14, ""No"", F10:F14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", H10:H14)","=AVERAGEIF($R10:$R14, ""No"", I10:I14)","=AVERAGEIF($R10:$R14, ""No"", G10:G14)","=AVERAGEIF($R10:$R14, ""No"", K10:K14)","=AVERAGEIF($R10:$R14, ""No"", L10:L14)","=AVERAGEIF($R10:$R14, ""No"", M10:M14)","=AVERAGEIF($R10:$R14, ""No"", N10:N14)","=AVERAGEIF($R10:$R14, ""No"", O10:O14)","=AVERAGEIF($R10:$R14, ""No"", P10:P14)","=AVERAGEIF($R10:$R14, ""No"", Q10:Q14)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,11,2,453,42652,4312604672,0,13,0,814.2905645017586,4340973980,492086,0,0,4328091648,1056663,28548,No
2,21,3,8222,62419,4312604672,0,23,0,688.8211391950782,5373969832,461362,0,0,5359349760,1308435,41741,Yes
3,11,3,139,43580,4312604672,0,13,0,822.2218133419005,4478532403,483936,0,0,4465455104,1090199,38460,Yes
4,7,2,118,39500,4312604672,0,9,0,804.167989872905,3970165920,515874,0,0,3957792768,966258,28414,No
5,7,2,110,40223,4312604672,0,9,0,809.4181650381641,4069238514,506524,0,0,4056756224,990419,30551,No
Average,"=AVERAGEIF($R18:$R22, ""No"", B18:B22)","=AVERAGEIF($R18:$R22, ""No"", C18:C22)","=AVERAGEIF($R18:$R22, ""No"", D18:D22)","=AVERAGEIF($R18:$R22, ""No"", E18:E22)","=AVERAGEIF($R18:$R22, ""No"", F18:F22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", H18:H22)","=AVERAGEIF($R18:$R22, ""No"", I18:I22)","=AVERAGEIF($R18:$R22, ""No"", G18:G22)","=AVERAGEIF($R18:$R22, ""No"", K18:K22)","=AVERAGEIF($R18:$R22, ""No"", L18:L22)","=AVERAGEIF($R18:$R22, ""No"", M18:M22)","=AVERAGEIF($R18:$R22, ""No"", N18:N22)","=AVERAGEIF($R18:$R22, ""No"", O18:O22)","=AVERAGEIF($R18:$R22, ""No"", P18:P22)","=AVERAGEIF($R18:$R22, ""No"", Q18:Q22)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,7,4,161,60366,8607571968,0,9,0,692.8332874324906,5227387874,1439103,0,0,5204271104,1270574,20937,No
2,7,4,328,61653,8607571968,0,9,0,701.8802239776801,5408564253,1414159,0,0,5385318400,1314775,18674,Yes
3,7,3,162,62212,8607571968,0,9,0,710.837504283946,5527348800,1394826,0,0,5504045056,1343761,13690,Yes
4,7,4,163,61471,8607571968,0,9,0,702.4847928156572,5397241607,1411908,0,0,5374038016,1312021,20255,No
5,7,4,169,61323,8607571968,0,9,0,703.9370763384921,5395377210,1412692,0,0,5372170240,1311565,17225,No
Average,"=AVERAGEIF($R26:$R30, ""No"", B26:B30)","=AVERAGEIF($R26:$R30, ""No"", C26:C30)","=AVERAGEIF($R26:$R30, ""No"", D26:D30)","=AVERAGEIF($R26:$R30, ""No"", E26:E30)","=AVERAGEIF($R26:$R30, ""No"", F26:F30)","=AVERAGEIF($R26:$R30, ""No"", G26:G30)","=AVERAGEIF($R26:$R30, ""No"", H26:H30)","=AVERAGEIF($R26:$R30, ""No"", I26:I30)","=AVERAGEIF($R26:$R30, ""No"", G26:G30)","=AVERAGEIF($R26:$R30, ""No"", K26:K30)","=AVERAGEIF($R26:$R30, ""No"", L26:L30)","=AVERAGEIF($R26:$R30, ""No"", M26:M30)","=AVERAGEIF($R26:$R30, ""No"", N26:N30)","=AVERAGEIF($R26:$R30, ""No"", O26:O30)","=AVERAGEIF($R26:$R30, ""No"", P26:P30)","=AVERAGEIF($R26:$R30, ""No"", Q26:Q30)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,8,6,98,82248,12902539264,0,10,0,643.7531050314924,6617730344,2326666,0,0,6583930880,1607405,23117,No
2,8,6,111,82713,12902539264,0,10,0,648.1844205689965,6700961095,2326844,0,0,6666997760,1627685,29472,No
3,8,5,113,80432,12902539264,0,10,0,630.6072380668184,6339518528,2381658,0,0,6305767424,1539494,26807,No
4,8,5,109,83110,12902539264,0,10,0,649.0967534564707,6742685698,2324935,0,0,6708658176,1637856,27217,Yes
5,8,5,111,83079,12902539264,0,10,0,646.2040008666971,6710131382,2325240,0,0,6676164608,1629923,22160,Yes
Average,"=AVERAGEIF($R34:$R38, ""No"", B34:B38)","=AVERAGEIF($R34:$R38, ""No"", C34:C38)","=AVERAGEIF($R34:$R38, ""No"", D34:D38)","=AVERAGEIF($R34:$R38, ""No"", E34:E38)","=AVERAGEIF($R34:$R38, ""No"", F34:F38)","=AVERAGEIF($R34:$R38, ""No"", G34:G38)","=AVERAGEIF($R34:$R38, ""No"", H34:H38)","=AVERAGEIF($R34:$R38, ""No"", I34:I38)","=AVERAGEIF($R34:$R38, ""No"", G34:G38)","=AVERAGEIF($R34:$R38, ""No"", K34:K38)","=AVERAGEIF($R34:$R38, ""No"", L34:L38)","=AVERAGEIF($R34:$R38, ""No"", M34:M38)","=AVERAGEIF($R34:$R38, ""No"", N34:N38)","=AVERAGEIF($R34:$R38, ""No"", O34:O38)","=AVERAGEIF($R34:$R38, ""No"", P34:P38)","=AVERAGEIF($R34:$R38, ""No"", Q34:Q38)",

Experiment,Iterations,Setup-Time,Downtime,Total-Time,Ram-Total,Ram-Postcopy-Requests,Ram-Dirty-Sync-Count,Ram-Remaining,Ram-Mbps,Ram-Transferred,Ram-Duplicate,Ram-Dirty-Pages-Rate,Ram-Skipped,Ram-Normal-Bytes,Ram-Normal,Total-Fake-Dirty-Pages,Outlier
1,8,7,127,103587,17197506560,0,10,0,615.7496015446998,7972205452,3234465,0,0,7927611392,1935452,38738,No
2,8,7,140,104372,17197506560,0,10,0,617.2523754898673,8052230507,3229125,0,0,8007528448,1954963,34324,Yes
3,8,6,126,103761,17197506560,0,10,0,615.8776695870079,7987335937,3231622,0,0,7942737920,1939145,40098,No
4,8,6,125,104338,17197506560,0,10,0,615.9788337997929,8033075447,3227113,0,0,7988428800,1950300,36632,Yes
5,8,6,124,103365,17197506560,0,10,0,617.5295416557823,7978191973,3234786,0,0,7933583360,1936910,39474,No
Average,"=AVERAGEIF($R42:$R46, ""No"", B42:B46)","=AVERAGEIF($R42:$R46, ""No"", C42:C46)","=AVERAGEIF($R42:$R46, ""No"", D42:D46)","=AVERAGEIF($R42:$R46, ""No"", E42:E46)","=AVERAGEIF($R42:$R46, ""No"", F42:F46)","=AVERAGEIF($R42:$R46, ""No"", G42:G46)","=AVERAGEIF($R42:$R46, ""No"", H42:H46)","=AVERAGEIF($R42:$R46, ""No"", I42:I46)","=AVERAGEIF($R42:$R46, ""No"", G42:G46)","=AVERAGEIF($R42:$R46, ""No"", K42:K46)","=AVERAGEIF($R42:$R46, ""No"", L42:L46)","=AVERAGEIF($R42:$R46, ""No"", M42:M46)","=AVERAGEIF($R42:$R46, ""No"", N42:N46)","=AVERAGEIF($R42:$R46, ""No"", O42:O46)","=AVERAGEIF($R42:$R46, ""No"", P42:P46)","=AVERAGEIF($R42:$R46, ""No"", Q42:Q46)",

